Lp.;Nazwa Muzeum;Kod pocztowy;MiejscowoúÊ;Gmina;Powiat;WojewÛdztwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeúli nie wystÍpuje w komÛrkach C1-G1);MiejscoúÊ (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Za≥oøyciela;Nazwa Organizatora I/ Za≥oøyciela;Nazwa Organizatora II/ Za≥oøyciela;Nazwa Organizatora III/ Za≥oøyciela;Data wpisu do PaÒstwowego Rejestru MuzeÛw (dotyczy Muzeum wpisanego do PaÒstwowego Rejestru MuzeÛw);Status muzeum;Data wykreúlenia z rejestru;zakoÒczenie procesu organizacji
609;Muzeum Sztuki Polskiej w Sopocie;81-707;Sopot;Sopot;m. Sopot;POMORSKIE;ul.;Jana Jerzego Haffnera;54;5;;;;;;;Juliusz Windorbski;;;;;Utworzone przez osoby fizyczne;;
610;Muzeum ålπskiego Wrzeúnia 1939 roku (w organizacji);43-100;Tychy;Tychy;m. Tychy;åL•SKIE;ul.;Brzozowa;24;;;;;;;;Arkadiusz Dominiec ;;;;;Utworzone przez osoby fizyczne;;
611;Muzeum åwiatowego OrÍøa i Wojskowoúci w organizacji;02-814;Warszawa;Warszawa (UrsynÛw);m. st. Warszawa;MAZOWIECKIE;ul.;S≥onki;5H;;;;;;;;Pawe≥ Øerdzicki ;;;;;Utworzone przez osoby fizyczne;;
612;Muzeum Tablic Rejestracyjnych i PojazdÛw w Øeliszewie (w organizacji);08-130;KotuÒ;KotuÒ;siedlecki;MAZOWIECKIE;;Øeliszew Duøy;3d;;;;;;;;Piotr Piersa;;;;;Utworzone przez osoby fizyczne;;
613;Muzeum Techniki Bojowej w Olszynie (w organizacji);59-830;Olszyna;Olszyna;lubaÒski;DOLNOåL•SKIE;ul.;Wolnoúci;60c;;;;;;;;Aneta S≥awiÒska; Krzysztof S≥awiÒski;;;;Utworzone przez osoby fizyczne;;
614;Muzeum Techniki i Broni w Dzierzgoniu (w organizacji) ;92-440;DzierzgoÒ;DzierzgoÒ;sztumski;POMORSKIE;ul.;S≥oneczna ;1;;;;;;;;Andrzej Mieleszczuk;;;;;Utworzone przez osoby fizyczne;;
615;Muzeum Techniki im. W≥adys≥awa Drybsa (w organizacji);05-540;Zalesie GÛrne;Piaseczno;piaseczyÒski;MAZOWIECKIE;ul.;Leúnych Boginek;34;;;;;;;;Konrad Brzozowski;;;;;Utworzone przez osoby fizyczne;;
616;Muzeum Techniki i Machin Wojennych w Gnieünie;62-200;Gniezno;Gniezno;gnieünieÒski;WIELKOPOLSKIE;ul.;åw. Micha≥a;10;;;;;;;;Mateusz Hen;;;;;Utworzone przez osoby fizyczne;;
617;Muzeum Techniki i Motoryzacji w GdaÒsku(w organizacji) ;80-177;GdaÒsk;GdaÒsk;GdaÒsk;POMORSKIE;ul.;Porzeczkowa;6;;;;;;;;Andrzej Haak;Tomasz JÍdrzejewski;;;;Utworzone przez osoby fizyczne;;
618;Muzeum Techniki i PojazdÛw Wojskowych w Bojanie (w organizacji);84-207;Bojano;Szemud;wejherowski;POMORSKIE;ul.;W≥adyslawa Jagie≥≥y;15;;;;;;;;Jaros≥aw KupieÒ;;;;;Utworzone przez osoby fizyczne;;
619;Muzeum Techniki i Rzemios≥a Wiejskiego w Zapuúcie (w†organizacji);59-830;Olszyna LubaÒska;Olszyna;lubaÒski;DOLNOåL•SKIE;;Zapusta;28;;;;;;;;Aneta Tyl; Krzysztof Tyl;;;;Utworzone przez osoby fizyczne;;
620;Muzeum Techniki i Techniki Wojskowej ,,TYTANî (w†organizacji);76- 142;Malechowo;Malechowo;s≥awieÒski;ZACHODNIOPOMORSKIE;;Malechowo;27b;;;;;;;;Marian Laskowski ;;;;;Utworzone przez osoby fizyczne;;
621;Muzeum Techniki i WynalazkÛw w Raciniewie (w organizacji);86-260;Unis≥aw;Unis≥aw;che≥miÒski;KUJAWSKO-POMORSKIE;ul. ;Bydgoska (w miejscowoúci Raciniewo);14A;;;;;;;;Jan Ko≥odziej;;;;;Utworzone przez osoby fizyczne;;
622;Muzeum Techniki Militarnej (w organizacji);05-311;DÍbe Wielkie;DÍbe Wielkie;miÒski;MAZOWIECKIE;ul.;Polna;15c;;;;;;;;Bogdan Korziuk;;;;;Utworzone przez osoby fizyczne;;
623;"Muzeum Techniki Militarnej i Cywilnej ,,MARS"" (w organizacji)";78-611;Szwecja;Szwecja;wa≥ecki;ZACHODNIOPOMORSKIE;ul.;GÛrna;1;;;;;;;;Piotr Letki; Rafa≥ Letki ;;;;Utworzone przez osoby fizyczne;;
624;Muzeum Techniki Rzemios≥a ålusarstwo ñ Kowalstwo w†organizacji ;44-153;Soúnicowice;Soúnicowice;gliwicki;åL•SKIE;ul.;Raciborska;47;;;;;;;;Andrzej åledziÒski ;;;;;Utworzone przez osoby fizyczne;;
625;Muzeum Techniki Militarnej i Uøytkowej w Bytomiu (w organizacji);41-902;Bytom;Bytom;m. Bytom;åL•SKIE;ul.;FranciszkaÒska;21;25;;;;;;;Roman Ploch;;;;;Utworzone przez osoby fizyczne;;
626;Muzeum Techniki Militarnej i†Uøytkowej w Zabrzu (w†organizacji);41-800;Zabrze;Zabrze;m. Zabrze;åL•SKIE;ul.;Botaniczna;6;;;;;;;;Rafa≥ Siech;;;;;Utworzone przez osoby fizyczne;;
627;Muzeum Techniki Motoryzacyjnej ;62-100;Wπgrowiec;Wπgrowiec;wπgrowiecki;WIELKOPOLSKIE;;£aziska;10b;;;;;;;;Aleksander B≥aszkowski ;;;;;Utworzone przez osoby fizyczne;;
628;Muzeum Techniki Uzbrojenia w Bydgoszczy (w organizacji);85-011;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;åniadeckich;32;;;;;;;;W≥odzimierz Rapkiewicz;;;;;Utworzone przez osoby fizyczne;;
629;Muzeum Techniki Uzbrojenia w Kamiennej GÛrze (w†organizacji);58-400;Kamienna GÛra;Kamienna GÛra;kamiennogÛrski;DOLNOåL•SKIE;ul.;Lubawska;1a;;;;;;;;Maciej Wyszkowski ;;;;;Utworzone przez osoby fizyczne;;
630;Muzeum Techniki w CiuÊkowie (w organizacji);09-460;Ma≥a Wieú;Ma≥a Wieú;p≥ocki;MAZOWIECKIE;;CiuÊkowo;14;;;;;;;;Krzysztof W≥oczkowski;;;;;Utworzone przez osoby fizyczne;;
631;"Muzeum Techniki Wojskowej ,,ARMA"" w Warszawie";02-871;Warszawa;Warszawa (UrsynÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Karczunkowska;26;;;;;;;;Jaros≥aw Jakubowski; Patrycja Grπdziel - Jakubowska ;;;;Utworzone przez osoby fizyczne;;
632;Muzeum Techniki Wojskowej i Motoryzacji w GÛralach w organizacji ;87-330;GÛrale;Jab≥onowo Pomorskie ;brodnicki ;KUJAWSKO-POMORSKIE;;;110;;;;;;;;Dorian Koprowski ;;;;;Utworzone przez osoby fizyczne ;;
633;Muzeum Techniki Wojskowej i Obrony Przeciwlotniczej w Busku - Zdroju (w organizacji);28-100;Busko-ZdrÛj;Busko-ZdrÛj;buski;åWI TOKRZYSKIE;ul.;Øeromskiego;24;;;;;;;;Zbigniew Wach;;;;;Utworzone przez osoby fizyczne;;
634;Muzeum Techniki Wojskowej i Uøytkowej ;95-030;RzgÛw;RzgÛw;≥Ûdzki wschodni;£”DZKIE;ul.;Polna;3;;;;;;;;Kordian Skalski;;;;;Utworzone przez osoby fizyczne;;
635;Muzeum Techniki Wojskowej im. Bogdana Wojciecha Koz≥owskiego w Olsztynie ;11-041;Olsztyn;Olsztyn;m. Olsztyn;WARMI—SKO-MAZURSKIE;ul.;Wilimowo;10a;;;;;;;;Bogdan Wojciech Koz≥owski;;;;;Utworzone przez osoby fizyczne;;
636;Muzeum Techniki Wojskowej im. Jerzego Tadeusza Widuchowskiego w Zabrzu (w organizacji);41-803;Zabrze;Zabrze;m. Zabrze;åL•SKIE;ul.;Wojciecha Kossaka;31a;2;;;;;;;Wac≥aw Widuchowski;;;;;Utworzone przez osoby fizyczne;;
637;Muzeum Techniki Wojskowej w Feliksowie (w organizacji) ;05-083;ZaborÛw;ZaborÛw;warszawski zachodni;MAZOWIECKIE;ul.;åwierkowa;5;;;;;;;;Jacek Roszkowski ;;;;;Utworzone przez osoby fizyczne;;
638;Muzeum Techniki Wojskowej w Jaworznie (w organizacji);43-602;Jaworzno;Jaworzno;m. Jaworzno;åL•SKIE;ul.;Zarzeczna;2;;;;;;;;Marian Lewek ;;;;;Utworzone przez osoby fizyczne;;
639;Muzeum Techniki Wojskowej w K≥odawie (w organizacji);62-650;K≥odawa;K≥odawa;kolski;WIELKOPOLSKIE;ul.;Cegielniana;26;;;;;;;;Pawe≥ Bart≥omiejczak;;;;;Utworzone przez osoby fizyczne;;
640;Muzeum Tradycji Niepodleg≥oúciowych Ziemi Staszowskiej w Staszowie (w organizacji);28-200 ;StaszÛw;StaszÛw;staszowski;åWI TOKRZYSKIE;ul. ;KiliÒskiego ;18;46;;;;;;;Pawe≥ Ciepiela;;;;;Utworzone przez osoby fizyczne;;
641;Muzeum Tradycji Ruchu Narodowego w Jelczu - Laskowicach (w organizacji);55-220;Jelcz - Laskowice;Jelcz- Laskowice;o≥awski ;DOLNOåL•SKIE;ul. ;Hirszfelda;70;1;;;;;;;Mateusz Kotas;;;;;Utworzone przez osoby fizyczne ;;
642;Muzeum Tradycji Wojskowych na Kujawach i Pomorzu w Janikowie (w organizacji);88-160;Janikowo;Janikowo;inowroc≥awski;KUJAWSKO-POMORSKIE;ul.;1 Maja;4;;;;;;;;Sebastian Maciej Witkowski;;;;;Utworzone przez osoby fizyczne ;;
643;Muzeum Twierdza BTR ñ 40 we Wroc≥awiu;51-180;Wroc≥aw;Wroc≥aw (Wroc≥aw-Psie Pole);m. Wroc≥aw;DOLNOåL•SKIE;ul.;Kominiarska;32;;;;;;;;Wies≥aw Majewski ;;;;;Utworzone przez osoby fizyczne;;
644;Muzeum Uzbrojenia (w organizacji);05-220;Zielonka;Zielonka;wo≥omiÒski;MAZOWIECKIE;ul.;Sprinterska;5;;;;;;;;Wojciech Goryca;;;;;Utworzone przez osoby fizyczne;;
645;Muzeum Uzbrojenia i Wojskowoúci (w organizacji);05-077;Warszawa - Weso≥a;Warszawa (Weso≥a);m. st. Warszawa;MAZOWIECKIE;ul.;Jana Paw≥a II;46;;;;;;;;JÍdrzej Kozak ;;;;;Utworzone przez osoby fizyczne;;
646;Muzeum Uzbrojenia Øo≥nierza Wojska Polskiego 1914-1945 (w organizacji);01-518;Warszawa;Warszawa (Øoliborz);m. st. Warszawa;MAZOWIECKIE;ul.;JÛzefa Zajπczka;05-sty;17;;;;;;;Jacek Mazuro;;;;;Utworzone przez osoby fizyczne;;
647;Muzeum Volkswagena;83-330;Øukowo, PÍpowo gm. Øukowo;Øukowo;kartuski;POMORSKIE;ul.;Armii Krajowej;50;;;;;;;;Ewa Suchecka ;;;;;Utworzone przez osoby fizyczne;;
648;"Muzeum VOLVO i innych Automobili w Poznaniu ,,Volvostrada"" (w organizacji) ";60-012;PoznaÒ;PoznaÒ ;poznaÒski;WIELKOPOLSKIE;ul. ;Ustronna ;13b;;;;;;;;Dariusz Weso≥owski ;Miros≥aw Walczak ;;;;Utworzone przez osoby fizyczne;;
649;Muzeum w Ponurzycy (w organizacji);05-430;CelestynÛw;CelestynÛw;otwocki;MAZOWIECKIE;;Ponurzyca;60;;;;;;;;Rados≥aw Szymczak;;;;;Utworzone przez osoby fizyczne;;
650;Muzeum Uzbrojenia i Technologii Wojskowej w Warszawie (w organizacji);04-452;Warszawa;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;ul.;ZawiszakÛw;5;;;;;;;;Robert Fotyniuk;;;;;Utworzone przez osoby fizyczne;;
651;Muzeum Uzbrojenia i Wyposaøenia Wielkiej Wojny w Szerzynach (w organizacji);38-246;Szerzyny;Szerzyny;tarnowski;MA£OPOLSKIE;;Szerzyny;141;;;;;;;;Pawe≥ Mikrut;;;;;Utworzone przez osoby fizyczne;;
652;Muzeum Uzbrojenia i Wyposaøenia Wojskowego w Ustrzykach Dolnych (w organizacji);38-700;Ustrzyki Dolne;Ustrzyki Dolne;bieszczadzki;PODKARPACKIE;ul. ;Dworcowa;4;14;;;;;;;Pawe≥ S≥upek;;;;;Utworzone przez osoby fizyczne;;
653;Muzeum Wielkiej Wojny w Kotani (w organizacji);38-232;Krempna;Krempna;jasielski;PODKARPACKIE;;KotaÒ;45C;;;;;;;;Przemys≥aw WrÛbel;;;;;Utworzone przez osoby fizyczne;;
654;Muzeum Winiarstwa i Wina w Mechelinkach (w organizacji);81-198;Mechelinki;Kosakowo;pucki;POMORSKIE;ul.;Klifowa;17;;;;;;;;Krzysztof Nawrot;;;;;Utworzone przez osoby fizyczne;;
655;Muzeum MilitariÛw i Historii ÑWilla LodusieÒkaî w Warszawie (w organizacji);04-824;Warszawa;Warszawa (Wawer);m. st. Warszawa;MAZOWIECKIE;ul.;Herbaciana;6;;;;;;;;Marek Salamonowicz;;;;;Utworzone przez osoby fizyczne;;
656;"Muzeum ÑWiosna 1812"" w Olszowej (w organizacji)";63-600;KÍpno;KÍpno;KepiÒski;WIELKOPOLSKIE;ul. we wsi Olszowa;Per≥owa;2;;;;;;;;Piotr Kowalewski;;;;;Utworzone przez osoby fizyczne;;
657;Muzeum Wojen i Øycia (w organizacji);68-200;Øary;Nowe Czaple;øarski;LUBUSKIE;Plac ;Przyjaüni;14;2;;;;;;;Franciszek £uckiewicz;Tomasz £uckiewicz;Krzysztof Jersak;;;Utworzone przez osoby fizyczne ;;
658;Muzeum Wojny i Pokoju (w organizacji);88-121;Popowo;Kruszwica;inowroc≥awski;KUJAWSKO-POMORSKIE;;Popowo;11;;;;;;;;Robert Wyrostkiewicz;;;;;Utworzone przez osoby fizyczne;;
659;Muzeum Wojny i Techniki w GdaÒsku (w organizacji);80-742;GdaÒsk;GdaÒsk;GdaÒsk;POMORSKIE;ul.;Kurza;18/19;7;;;;;;;Tomasz Dziergowski;;;;;Utworzone przez osoby fizyczne;;
660;Muzeum Wojny Obronnej Rybnikí39 (w organizacji);44-251;Rybnik;Rybnik;m. Rybnik;åL•SKIE;ul.;Rycerska;16a;;;;;;;;Marcin Ruú;;;;;Utworzone przez osoby fizyczne;;
661;Muzeum Wojska, Techniki i Uzbrojenia (w organizacji);05-092;£omianki;£omianki;warszawski zachodni;MAZOWIECKIE;ul.;WaligÛry;15;;;;;;;;Tomasz Renault;;;;;Utworzone przez osoby fizyczne;;
662;Muzeum Wojskowe i Regionalne w Klenicy (w organizacji);66-133;Klenica;Kliniczki;zielonogÛrski;LUBUSKIE;ul.;Boles≥awa Chrobrego;14;;;;;;;;Tomasz £ysiak;;;;;Utworzone przez osoby fizyczne;;
663;Muzeum Wojskowo- Cywilne w £osicach ;08-200;£osice;£osice;≥osicki;MAZOWIECKIE;ul.;Narutowicza;53;11;;;;;;;Mateusz CeliÒski ;;;;;Utworzone przez osoby fizyczne;;
664;Muzeum Wojskowoúci i Uzbrojenia (w organizacji);02-972;Warszawa;Warszawa (WilanÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Hlonda;2c;127;;;;;;;Micha≥ Kuczmierowski;;;;;Utworzone przez osoby fizyczne;;
665;Muzeum Wojskowoúci w £owiczu (w organizacji);99-400;£owicz;£owicz;≥owicki;MAZOWIECKIE;ul.;Polna;4;;;;;;;;Bart≥omiej Ga≥aj;;;;;Utworzone przez osoby fizyczne;;
666;Muzeum Wojskowoúci w Starej Mi≥oúnie;05-077;Warszawa;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;ul.;JarzÍbionowa;12;;;;;;;;Wojciech Jaros≥awski;;;;;Utworzone przez osoby fizyczne;;
667;Muzeum Wojskowoúci w åwierklaÒcu (w organizacji);42-622;åwierklaniec;Nak≥o;tarnogÛrski;åL•SKIE;ul.;TarnogÛrska;75;;;;;;;;Antoni Øurek;;;;;Utworzone przez osoby fizyczne;;
668;Muzeum Wolnego Czasu ;82-120;Krynica Morska;Krynica Morska;nowodworski;POMORSKIE;ul.;Teleexpresu;3c;;;;;;;;Filip GawliÒski ;;;;;Utworzone przez osoby fizyczne;;
669;Muzeum Wsi Sudeckiej i Techniki Militarnej;58-340;£omnica;G≥uszyca;wa≥brzyski;DOLNOåL•SKIE;ul.;Sudecka;dz. nr 104;;;;;;;;Jerzy Rudnicki;;;;;Utworzone przez osoby fizyczne;;
670;Muzeum Wsi w Maruszowie (w†organizacji);27-630;Zawichost;Zawichost;sandomierski;åWI TOKRZYSKIE;;MaruszÛw;16;;;;;;;;Edward Ziarko;;;;;Utworzone przez osoby fizyczne;;
671;Muzeum WspÛ≥czesnej Broni Palnej w Jeøowie Sudeckim (w†organizacji);58-521;JeøÛw Sudecki;JeøÛw Sudecki;jeleniogÛrski;DOLNOåL•SKIE;ul.;Zachodnia;2;;;;;;;;Wojciech Aleksiewicz;;;;;Utworzone przez osoby fizyczne;;
672;"Muzeum ""W Starej Papierni"" w £apinie";83-050;£apino;Kolbudy;gdaÒski;POMORSKIE;ul.;Micha≥a Wo≥odyjowskiego;18;;;;;;;;Pawe≥ Jaworski;;;;;Utworzone przez osoby fizyczne;;
673;Muzeum Zabawek w Kudowie Zdroju (w organizacji);57-350;Kudowa ZdrÛj;Kudowa-ZdrÛj;k≥odzki;DOLNOåL•SKIE;ul.;Zdrojowa;34;4;;;;;;;Maria OzieraÒska;;;;;Utworzone przez osoby fizyczne;;
674;Muzeum Zabawek w Sporem (w organizacji);78-400;Szczecinek;Szczecinek;szczecinecki;ZACHODNIOPOMORSKIE;;Spore;41;;;;;;;;Andrzej WilczyÒski;;;;;Utworzone przez osoby fizyczne;;
675;Muzeum ZabytkÛw Techniki Wojskowej w Warszawie;30-107;Warszawa;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;ul.;Ciechanowska;3;;;;;;;; Stanis≥aw KÍszycki;;;;;Utworzone przez osoby fizyczne;;
676;Muzeum Zamkowe Kamieniec;38-420;Korczyna;Korczyna;kroúnieÒski;PODKARPACKIE;ul.;Podzamcze;b;n;;;;;;;Andrzej Ko≥der ;;;;;Utworzone przez osoby fizyczne;;
677;Muzeum Zamkowe w Grodücu;43- 386;åwiÍtoszÛwka Grodziec;Jasienica;bielski;åL•SKIE;ul.;Dworska;1;;;;;;;;Micha≥ Boøek ;;;;;Utworzone przez osoby fizyczne;;
678;Muzeum ,,Ziemi Kaszubskiej i SprzÍtÛw Militarnychî (w†organizacji);83-311;GorÍczyno gm. Samonino;Brodnica Dolna (SarnÛwko);kartuski;POMORSKIE;ul.;KasztelaÒska;26e;;;;;;;;S≥awomir KamiÒski ;;;;;Utworzone przez osoby fizyczne;;
679;Muzeum Ziemi Kozielskiej i ålπska Opolskiego (w organizacji);;KÍdzierzyn-Koüle;KÍdzierzyn-Koüle;kÍdzierzyÒsko-kozielski ;OPOLSKIE;ul.;Wyzwolenia;28;13;;;;;;;£ukasz WawrzyÒczyk;;;;;Utworzone przez osoby fizyczne;;
680;Muzeum Ziemi KwidzyÒskiej w Kwidzynie (w organizacji);82-500;Kwidzyn;Kwidzyn;kwidzyÒski;POMORSKIE;ul.;Boles≥awa åmia≥ego;4;49;;;;;;;Tomasz Wojciechowski;;;;;Utworzone przez osoby fizyczne;;
681;Muzeum Ziemi Makowskiej i Garnizonu RÛøan;06-230;RÛøan;RÛøan;makowski;MAZOWIECKIE;ul.;Szkolna;2;;;;;;;;Wies≥aw £askarzewski;;;;;Utworzone przez osoby fizyczne;;
682;"Muzeum Ziemi Polskiej ""Wolne Miasto"" w Pruszczu GdaÒskim (w organizacji)";83-000;Pruszcz GdaÒski;Pruszcz GdaÒski;gdaÒski;POMORSKIE;ul.;Nad Raduniπ;48;;;;;;;;Mateusz Rutkowski;;;;;Utworzone przez osoby fizyczne;;
683;Muzeum Ziemi Przemkowskiej (w organizacji);59-170;PrzemkÛw;PrzemkÛw;polkowicki ;DOLNOåL•SKIE;ul. ;Akacjowa ;5c;26;;;;;;;Marcin JednorÛg;;;;;Utworzone przez osoby fizyczne;;
684;Muzeum Ziemi SkÛrzeckiej (w organizacji);08-114;SkÛrzec;SkÛrzec;siedlecki;MAZOWIECKIE;ul. ;M. Kameckiego;61;;;;;;;;Andrzej Wysocki;;;;;Utworzone przez osoby fizyczne;;
685;Muzeum Ziemi W≥odawskiej;22-244;Stary Brus;Wo≥oskowola;w≥odawski;LUBELSKIE;ul.;Ko≥acze;115;;;;;;;;Pawe≥ Wojtal;;;;;Utworzone przez osoby fizyczne;;
686;Muzeum Ziemi WolsztyÒskiej (w organizacji);64-200;Wolsztyn;Wolsztyn;wolsztyÒski;WIELKOPOLSKIE;ul.;Nia≥ecka;24;;;;;;;;Andrzej Toú;;;;;Utworzone przez osoby fizyczne;;
687;Muzeum Øo≥nierzy AK z Odelska (w organizacji);04-980;Warszawa;Warszawa;m. st. Warszawa;MAZOWIECKIE;ul.;Olecka;12;;;;;;;;Konrad LogiÒski;;;;;Utworzone przez osoby fizyczne;;
688;Muzeum Øycia Codziennego;32-552;P≥aza;ChrzanÛw;chrzanowski;MA£OPOLSKIE;ul.;Jana III Sobieskiego;38;;;;;;;;Stanis≥aw Garlicki;;;;;Utworzone przez osoby fizyczne;;
689;NadwiúlaÒskie Muzeum Broni Dawnej i Nowej w Piasecznie (w†organizacji);05-500;Piaseczno;Piaseczno;piaseczyÒski;MAZOWIECKIE;ul.;M≥ynarska;13;;;;;;;;Maciej Szadkowski ;;;;;Utworzone przez osoby fizyczne;;
690;Podlaskie Muzeum Techniki Wojskowej i Uøytkowej w†Bielanach Wπsach ;08-311;Bielany;Bielany-Øylaki;soko≥owski;MAZOWIECKIE;;Bielany Wπsy;14;;;;;;;;Mariusz Murawski;;;;;Utworzone przez osoby fizyczne;;
691;Polskie Muzeum Motoryzacji (w organizacji);81-575;Gdynia;Gdynia;m. Gdynia;POMORSKIE;ul.;Wschodnia;1A;4;;;;;;;Adam Stelmach;;;;;Utworzone przez osoby fizyczne;;
692;Pomorskie Muzeum Bawarskiej Motoryzacji w Gdyni (w organizacji);81-017;Gdynia;Gdynia;m. Gdynia;POMORSKIE;ul.;Grochowa ;4;;;;;;;;Damian Micha≥owski;;;;;Utworzone przez osoby fizyczne;;
693;Pomorskie Muzeum Motoryzacji (w organizacji);84-208;Kielno;Czeczewo;kartuski;POMORSKIE;ul.;Tuchomska;2;;;;;;;;Tomasz NasiÒski ;;;;;Utworzone przez osoby fizyczne;;
694;Pomorskie Muzeum Motoryzacji i Techniki w Gdyni (w†organizacji);81-383;Gdynia;Gdynia;m. Gdynia;POMORSKIE;ul.;I Armii Wojska Polskiego;28;;;;;;;;Tomasz Karchut; Tomasz Groszewski;;;;Utworzone przez osoby fizyczne;;
695;Pomorskie OkrÍgowe Muzeum PRL w SÍpÛlnie KrajeÒskim (w organizacji);89-400;SÍpÛlno KrajeÒskie ;SÍpÛlno KrajeÒskie;sÍpoleÒski;KUJAWSKO-POMORSKIE;ul. ;Koronowska ;20;4;;;;;;;Marcin Gulka ;;;;;Utworzone przez osoby fizyczne ;;
696;Prywatne Multimedialne Muzeum Gry i Zabawy w Warszawie (w organizacji);00-586;Warszawa;Warszawa (årÛdmieúcie);m. st. Warszawa;MAZOWIECKIE;ul.;Flory;5;24;;;;;;;Pawe≥ Abramczuk ;;;;;Utworzone przez osoby fizyczne;;
697;Prywatne Muzeum Artylerii i Broni Pancernej 1939-1945 w Warszawie (w organizacji);01-568;Warszawa;m.st. Warszawa;m.st. Warszawa ;MAZOWIECKIE;ul.;Stafana Pogonowskiego;8;1;;;;;;;Jan OlszaÒski;;;;;Utworzone przez osoby fizyczne;;
698;Prywatne Muzeum Broni i MilitariÛw w åwidnicy;58-100;åwidnica;åwidnica;úwidnicki;DOLNOåL•SKIE;ul.;WitoszÛw Dolny;7;;;;;;;;Stanis≥aw Gabryú;;;;;Utworzone przez osoby fizyczne;;
699;Prywatne Muzeum Broni Pancernej i†MilitariÛw im. Franciszka Bier w Bielsku-Bia≥ej;43-310;Bielsko-Bia≥a;Bielsko-Bia≥a;m. Bielsko-Bia≥a;åL•SKIE;ul.;Pasterska;18;;;;;;;;Rafa≥ Bier;;;;;Utworzone przez osoby fizyczne;;
700;"Prywatne Muzeum Historii Cz≥owieka - ""Planeta Terra"" w Kampinosie (w organizacji)";05-085;Kampinos;Kampinos;warszawski zachodni;MAZOWIECKIE;ul.;Kampinos A;23B;;;;;;;;Piotr Pa≥ys;;;;;Utworzone przez osoby fizyczne;;
701;Prywatne Muzeum Historii ÑGaraø PRL-uî w Nakle nad Noteciπ (w organizacji);89-100;Nak≥o nad Noteciπ;Nak≥o nad Noteciπ;nakielski;KUJAWSKO-POMORSKIE;ul.;M≥yÒska;5;;;;;;;;Grzegorz TrudziÒski;;;;;Utworzone przez osoby fizyczne;;
702;Prywatne Muzeum Historii Ziem i Walk NadwiúlaÒskich w Wojszynie (w organizacji);24-123;Janowiec;Janowiec;pu≥awski;LUBELSKIE;;Wojszyn;29A;;;;;;;;Sebastian Szulowski, Iwona Szulowska;;;;;Utworzone przez osoby fizyczne;;
703;"Prywatne Muzeum Historyczne ,,Gaja"" w Janowie (w organizacji)";05-082;Stare Babice ;Stare Babice;warszawski zachodni;MAZOWIECKIE;ul. ;StudziÒskiego ;3;;;;;;;;Adrian K≥os ;;;;;Utworzone przez osoby fizyczne ;;
704;Prywatne Muzeum Historyczno-Przyrodnicze w £azach (w organizacji);05-552;£azy;Lesznowola;piaseczyÒski;MAZOWIECKIE;ul. ;Konwaliowa;6a;;;;;;;;Ludwik Tomczyk;;;;;Utworzone przez osoby fizyczne ;;
705;Prywatne Muzeum Kowalstwa w Warszawie;02-749;Warszawa;Warszawa (MokotÛw);m. st. Warszawa;MAZOWIECKIE;ul.;Przy Grobli;84;;;;;;;;Kamil Ga≥ecki;;;;;Utworzone przez osoby fizyczne;;
706;Prywatne Muzeum Militarne w Woli Ma≥ej (w organizacji);37-100;Wola Ma≥a;Czarna ;≥aÒcucki;PODKARPACKIE;;;8a;;;;;;;;Adam StrzÍpka ;;;;;Utworzone przez osoby fizyczne ;;
707;Prywatne Muzeum Motoryzacji i Techniki w OtrÍbusach;05-805;OtrÍbusy k/Warszawy;OtrÍbusy;pruszkowski;MAZOWIECKIE;ul.;Warszawska;21;;;;;;;;Joanna Mikiciuk; Izabella Mikiciuk; Patryk Mikiciuk;;2001-12-14;Utworzone przez osoby fizyczne;;
708;Prywatne Muzeum Motoryzacji i Techniki w Radomiu (w organizacji);26-600;Radom;Radom;Radom ;MAZOWIECKIE;ul.;K. KurpiÒskiego;1a;;;;;;;;Konrad Figarski;;;;;Utworzone przez osoby fizyczne;;
709;Prywatne Muzeum Podkarpackich PÛl Bitewnych;38-400;Krosno;Krosno;m. Krosno;PODKARPACKIE;ul.;Czajkowskiego;92;;;;;;;;Piotr Kie≥tyka; Dorota Kie≥tyka; Les≥aw Wilk;;;Utworzone przez osoby fizyczne;;
710;Prywatne Muzeum PojazdÛw Militarnych i Zabytkowych w Rakszawie;37-111;Rakszawa;Rakszawa;≥aÒcucki;PODKARPACKIE;;Rakszawa;118;3;;;;;;;Bogdan Maczuga;;;;;Utworzone przez osoby fizyczne;;
711;Prywatne Muzeum PojazdÛw i Techniki PRL w Agnieszkowie (w organizacji);62-840;Koüminek;Koüminek;kaliski;WIELKOPOLSKIE;;AgnieszkÛw;6;;;;;;;;Micha≥ Grabowski;;;;;Utworzone przez osoby fizyczne;;
